아침밥/일품,아침국,아침반찬1,아침반찬2,아침김치,오전간식1,오전간식2,점심밥/일품,점심국,점심반찬1,점심반찬2,점심김치,오후간식1,오후간식2,저녁밥/일품,저녁국,저녁반찬1,저녁반찬2,저녁김치,총점
찹쌀밥(추가),느타리버섯국,애호박건새우볶음,고구마순된장무침,깍두기,S마카로니채소샐러드,S수제바나나우유,닭살카레감자밥+양념장,애호박맑은국,팽이버섯나물,무말랭이,총각 김치,empty,S쌀음료,팥밥(30),만두국,돈육김치볶음,느타리버섯나물,오이소박이김치,4
찹쌀밥(추가),맑은순두부국,애호박건새우볶음,고구마순된장무침,깍두기,S바나나,S수제딸기우유,열무보리비빔밥,강된장,조기구이,empty,총각 김치,S오렌지,S단호박식혜,팥밥(30),만두국,돈육김치볶음,느타리버섯나물,오이소박이김치,5
팥밥(30),모시조갯국,맛살미역줄기볶음,팽이버섯나물,깍두기,S바나나,empty,닭살카레감자밥+양념장,애호박맑은국,소떡소떡,empty,단무지,S마들렌,S오렌지주스,팥밥(30),들깨우거지국,돈육김치볶음,새송이버섯나물,오이소박이김치,5
옥수수밥(30),단호박수제비,매콤콩나물무침,팽이버섯부추나물,단무지무침,S쇠고기미역죽,S두유(100ml),찹쌀팥밥,당근스프,애호박볶음,애호박나물,열무 물김치,S감자샐러드,S복숭아호두스무디,찹쌀밥,두부전골,가지양념찜,단배추멸치조림,비트초절이,1
찹쌀밥,당근스프,단배추멸치조림,팽이버섯부추나물,단무지무침,S감자샐러드,S복숭아호두스무디,옥수수밥(30),단호박수제비,애호박볶음,매콤콩나물무침,열무 물김치,S쇠고기미역죽,S두유(100ml),찹쌀팥밥,두부전골,애호박나물,가지양념찜,비트초절이,2
찹쌀밥(30),당근황태국,김달걀말이,팽이버섯부추나물,나박 김치,S감자샐러드,S우유(200ml),꼬마김밥,단호박수제비,궁중떡볶이,empty,열무 물김치,S바나나,S두유(100ml),찹쌀팥밥,두부전골,너비아비조림,가지양념찜,비트초절이,5
찹쌀밥(30),부추재첩국,단배추멸치조림,팽이버섯부추나물,나박 김치,S수제딸기우유,empty,꼬마김밥,단호박수제비,비빔만두,empty,열무 물김치,S모카빵,S두유(100ml),찹쌀팥밥,당근스프,미니돈까스,마카로니채소샐러드(마요네즈),깍두기,5
일본식쇠고기덮밥(규동),순두부백탕,채소크로켓,건새우애호박볶음,총각 김치,S단호박식혜,S수제바나나우유,찹쌀밥(추가),만두국,느타리버섯나물,우엉채곤약조림,단무지,S크림소스스파게티,S건포도감자볼,고구마밥(40),감자양팟국,가지구이,empty,오이소박이김치,1
찹쌀밥(추가),순두부백탕,건새우애호박볶음,우엉채곤약조림,단무지,S건포도감자볼,S수제바나나우유,일본식쇠고기덮밥(규동),감자양팟국,느타리버섯나물,채소크로켓,총각 김치,S크림소스스파게티,S단호박식혜,고구마밥(40),만두국,empty,가지구이,오이소박이김치,3
찹쌀밥(추가),순두부백탕,맛살구이,우엉채곤약조림,석박지,S건포도감자볼,S우유(200ml),닭갈비덮밥,우동국물,단호박고구마샐러드,S요구르트,비트초절이,S크림소스스파게티,S오렌지주스,수수밥(40),만두국,오징어부추전,가지나물무침,나박 김치,5
찹쌀밥(추가),순두부백탕,볼어묵조림,애호박볶음,나박 김치,S사과,empty,쇠고기배추밥+양념장,감자양팟국,모듬버섯전,empty,깍두기,S단호박설기,S오렌지주스,수수밥(40),곰취된장국,대구구이,맛살채소볶음,오이소박이김치,5
해물버섯덮밥,느타리버섯국,가지양념무침,애호박볶음,열무 김치,S수제딸기우유,S쌀음료,찹쌀밥,두부전골,양념가지찜,고구마순된장무침,깍두기,S연두부샐러드(오리엔탈드레싱),S알리오올리오스파게티,밤콩밥(30),팥죽,매콤콩나물무침,떡갈비간장조림,나박 김치,1
밤콩밥(30),팥죽,고구마순된장무침,애호박볶음,열무 김치,S연두부샐러드(오리엔탈드레싱),S수제딸기우유,해물버섯덮밥,두부전골,양념가지찜,매콤콩나물무침,깍두기,S알리오올리오스파게티,S쌀음료,찹쌀밥,느타리버섯국,떡갈비간장조림,가지양념무침,나박 김치,2
밤콩밥(30),감자된장찌개,김구이,고구마순된장무침,열무 김치,S연두부샐러드(오리엔탈드레싱),S수제딸기우유,해물버섯덮밥,멸치장국,고구마맛탕,양상추샐러드,깍두기,S알리오올리오스파게티,S쌀음료,찹쌀밥,느타리버섯국,떡갈비간장조림,가지양념무침,나박 김치,5
밤콩밥(30),들깨미역국,가자미살구이,가지양념무침,열무 김치,S블루베리,S떠먹는요구르트(100ml),해물버섯덮밥,유부쑥갓맑은국,양상추샐러드,empty,깍두기,S고구마맛탕,S쌀음료,찹쌀밥,느타리버섯국,떡갈비간장조림,매콤콩나물무침,나박 김치,5
팥밥(30),애호박맑은국,미트볼피망조림,팽이버섯나물,총각 김치,S소고기우엉죽,S미숫가루,밤콩밥,만두국,취나물들깨무침,가지구이,동치미,S건포도감자볼,S수제바나나우유,일본식쇠고기덮밥(규동),감자국,냉이무침,empty,열무 물김치,3
팥밥(30),애호박맑은국,미트볼피망조림,팽이버섯나물,총각 김치,S소고기우엉죽,S미숫가루,일본식쇠고기덮밥(규동),감자국,가지구이,취나물들깨무침,동치미,S건포도감자볼,S수제바나나우유,밤콩밥,만두국,empty,냉이무침,열무 물김치,3
팥밥(30),애호박맑은국,미트볼피망조림,팽이버섯나물,나박 김치,S백설기,S미숫가루,나물비빔밥,건새우무국,닭가슴살단호박조림,empty,백김치,S건포도감자볼,S수제바나나우유,밤콩밥,만두국,두부양념구이,브로컬리초무침,비트초절이,5
팥밥(30),애호박맑은국,미트볼토마토소스조림,팽이버섯나물,나박 김치,S미숫가루,empty,일본식쇠고기덮밥(규동),감자국,채소튀김,empty,깍두기,S건포도감자볼,S수제바나나우유,밤콩밥,건새우근대국,간장마파두부,냉이무침,열무 물김치,5
찹쌀밥,감자옹심이국,고구마순된장무침,주꾸미채소간장볶음,깍두기,S참깨우유스프,S복숭아호두스무디,돈육양배추덮밥,아욱우렁된장국,가지양념찜,건새우애호박볶음,콜라비나박김치,S쌀음료,S참외샐러드,완두콩밥(40),곤약어묵국,느타리버섯나물,empty,비트초절이,2
완두콩밥(40),감자옹심이국,건새우애호박볶음,고구마순된장무침,깍두기,S참외샐러드,S복숭아호두스무디,돈육양배추덮밥,아욱우렁된장국,empty,가지양념찜,콜라비나박김치,S참깨우유스프,S쌀음료,찹쌀밥,곤약어묵국,주꾸미채소간장볶음,느타리버섯나물,비트초절이,4
완두콩밥(40),감자옹심이국,두부데리야끼조림,고구마순된장무침,깍두기,S삶은달걀,S우유(100ml),돈육양배추덮밥,아욱우렁된장국,찐만두,파프리카유자청무침,콜라비나박김치,S브로콜리스프,S쌀음료,찹쌀밥,곤약어묵국,대구구이,느타리버섯나물,비트초절이,5
완두콩밥(40),감자옹심이국,단배추멸치조림,건파래무침,깍두기,S우유(100ml),empty,찹쌀밥,아욱우렁된장국,돼지고기채소구이,봄동부추겉절이,백김치,S브로콜리스프,empty,찹쌀밥,곤약어묵국,병어조림,버섯들깨나물,나박 김치,5
찹쌀밥(추가),팥죽,팽이버섯부추나물,콩나물무침,열무 물김치,S연두부샐러드(오리엔탈드레싱),S밥새우주먹밥,닭살카레감자밥+양념장,새우살무국,오징어초무침,채소크로켓,나박 김치,S수제바나나우유,S미숫가루,팥밥(30),애호박두부젓국,(고춧가루제외)갈치조림,empty,동치미,1
팥밥(30),새우살무국,empty,콩나물무침,열무 물김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,닭살카레감자밥+양념장,애호박두부젓국,오징어초무침,채소크로켓,나박 김치,S밥새우주먹밥,S미숫가루,찹쌀밥(추가),팥죽,(고춧가루제외)갈치조림,팽이버섯부추나물,동치미,3
팥밥(40),맑은김치어묵국,돈육장조림,콩나물무침,열무 물김치,S찐고구마,S수제바나나우유,닭살카레감자밥+양념장,애호박두부젓국,채소크로켓,empty,나박 김치,S치즈스틱,S포도주스,찹쌀밥(추가),새우살무국,(고춧가루제외)갈치조림,팽이버섯부추나물,백김치,5
찹쌀밥(추가),팥죽,어묵곤약조림,empty,동치미,S찐고구마,S요구르트,잡곡밥,새우살무국,흰살생선튀김,파프리카유자청무침,나박 김치,S치즈스틱,S포도주스,닭살카레감자밥+양념장,맑은애호박국,오징어숙회,empty,깍두기,5
차조밥(30),김치두부국,오이무침,마카로니채소샐러드(마요네즈),석박지,S오미자차,S건포도감자볼,소고기굴소스볶음밥,게살스프,무말랭이,양배추샐러드(레몬드레싱),총각 김치,S단호박크림리조또,S우유(200ml),현미밥,만두국,참나물겉절이,주꾸미채소간장볶음,깍두기,1
차조밥(30),김치두부국,주꾸미채소간장볶음,오이무침,석박지,S건포도감자볼,S우유(200ml),소고기굴소스볶음밥,게살스프,양배추샐러드(레몬드레싱),무말랭이,총각 김치,S단호박크림리조또,S오미자차,현미밥,만두국,참나물겉절이,마카로니채소샐러드(마요네즈),깍두기,2
차조밥(30),안매운김치찌개,참치피망볶음,오이무침,석박지,S으깬견과류고구마샐러드(요거트),S우유(100ml),소고기굴소스볶음밥,연두부탕,양배추샐러드(레몬드레싱),empty,총각 김치,S단호박크림리조또,S오미자차,현미밥,건새우맑은국,삼치유자청구이,참나물겉절이,깍두기,5
차조밥(30),김치두부국,참치채소전,오이무침,석박지,S우유(100ml),empty,소고기굴소스볶음밥,게살스프,유자고구마맛탕,empty,깍두기,S단팥도너츠,S매실주스,현미밥,콩가루시래기국,양배추낙지볶음,참나물겉절이,나박 김치,5
팥밥(30),애호박맑은국,소고기버섯불고기,볼어묵조림,나박 김치,S연두부샐러드(오리엔탈드레싱),S쌀음료,밤콩밥,늙은호박국,냉이나물,애호박생선살찜,열무 김치,S단팥죽,S우유(150ml),율무밥,두부전골,견과류고구마범벅,empty,백김치,2
팥밥(30),애호박맑은국,볼어묵조림,견과류고구마범벅,나박 김치,S단팥죽,S쌀음료,율무밥,늙은호박국,소고기버섯불고기,empty,열무 김치,S연두부샐러드(오리엔탈드레싱),S우유(150ml),밤콩밥,두부전골,애호박생선살찜,냉이나물,백김치,3
팥밥(30),애호박맑은국,미트볼조림,브로콜리나물,나박 김치,S단팥죽,S식혜,율무밥,모듬어묵국,소고기버섯불고기,콩나물냉채,백김치,S연두부샐러드(오리엔탈드레싱),S우유(150ml),밤콩밥,안매운돈육김치찌개,조기구이,취나물무침,비트초절이,5
팥밥(30),애호박맑은국,볼어묵조림,견과류고구마범벅,나박 김치,S떠먹는요구르트(100ml),empty,율무밥,홍합살미역국,소고기버섯불고기,청경채무침,백김치,S오색롤샌드위치,S우유(150ml),밤콩밥,어묵감자국,조기구이,냉이나물,깍두기,5
돈육양배추덮밥,애호박새우젓국,가지양념찜,고구마줄기볶음,총각 김치,S참깨우유스프,S고구마쉐이크,밤콩밥(40),온청포묵국,오이볶음,매콤낙지채소볶음,깍두기,S둥글레차,S건포도감자볼,찹쌀밥,매생이홍합국,고구마순된장무침,건새우애호박볶음,단무지무침,1
밤콩밥(40),매생이홍합국,건새우애호박볶음,고구마줄기볶음,총각 김치,S건포도감자볼,S고구마쉐이크,돈육양배추덮밥,애호박새우젓국,가지양념찜,고구마순된장무침,깍두기,S참깨우유스프,S둥글레차,찹쌀밥,온청포묵국,매콤낙지채소볶음,오이볶음,단무지무침,3
밤콩밥,매생이홍합국,계란찜,고구마줄기볶음,총각 김치,S건포도감자볼,S고구마쉐이크,돈육양배추덮밥,애호박새우젓국,게살마요무침,empty,깍두기,S당근스프,S둥글레차,찹쌀밥,온청포묵국,꼬막찜,오이볶음,단무지무침,5
밤콩밥(40),매생이홍합국,채소스크램블에그,고구마줄기볶음,나박 김치,S사과,empty,돈육양배추덮밥,애호박새우젓국,크래미채소샐러드,empty,깍두기,S당근스프,empty,찹쌀밥,온청포묵국,매콤낙지채소볶음,오이무침,백김치,5
흰콩밥,감자채맑은국,주꾸미채소간장볶음,깻잎새콤무침,열무 김치,S수제블루베리바나나우유,S검은깨두유(150ml),고구마밥,배추맑은국,애호박콩가루볶음,두부찜,나박 김치,S수제비,S연두부샐러드(오리엔탈드레싱),율무밥(30),감자호박국,얼갈이무침,닭가슴살삼색파프리카볶음,동치미,2
고구마밥,감자채맑은국,두부찜,깻잎새콤무침,열무 김치,S연두부샐러드(오리엔탈드레싱),S수제블루베리바나나우유,흰콩밥,배추맑은국,닭가슴살삼색파프리카볶음,얼갈이무침,나박 김치,S수제비,S검은깨두유(150ml),율무밥(30),감자호박국,주꾸미채소간장볶음,애호박콩가루볶음,동치미,4
고구마밥,감자채맑은국,두부찜,브로콜리깨소스무침,열무 김치,S연두부샐러드(오리엔탈드레싱),S수제블루베리바나나우유,흰콩밥,삼계탕,해물부추전,깻잎새콤무침,깍두기,S수제비,S우유(150ml),율무밥(30),맑은배춧국,닭가슴살삼색파프리카볶음,애호박볶음,동치미,5
고구마밥,감자채맑은국,두부찜,깻잎새콤무침,열무 김치,S수제블루베리바나나우유,empty,흰콩밥,어린이부대찌개,쇠고기잡채,얼갈이무침,깍두기,S소보로빵,S우유(150ml),율무밥(30),부추바지락국,주꾸미채소간장볶음,애호박콩가루볶음,동치미,5
일본식쇠고기덮밥(규동),미역만두국,매콤콩나물무침,고구마순된장무침,총각 김치,S호두채소죽,S쌀음료,옥수수밥(30),애호박새우젓국,가지양념찜,동치미,깻잎김치,S건포도감자볼,S고구마쉐이크,찹쌀밥,당근스프,배무생채,양념가지찜,깍두기,1
옥수수밥(30),미역만두국,양념가지찜,고구마순된장무침,총각 김치,S호두채소죽,S쌀음료,일본식쇠고기덮밥(규동),애호박새우젓국,배무생채,매콤콩나물무침,깻잎김치,S건포도감자볼,S고구마쉐이크,찹쌀밥,당근스프,가지양념찜,동치미,깍두기,2
옥수수밥(40),매생이두부국,양념가지찜,고구마순된장무침,백김치,S쑥설기(40g),S오렌지주스,불고기주먹밥,건새우무국,비빔만두,empty,나박 김치,S연근전,S우유(200ml),찹쌀밥,유부실파국,돼지고기폭찹,배무생채,깍두기,5
옥수수밥(30),미역만두국,달걀찜,당근숙주나물,총각 김치,S사과,empty,닭살토마토소스덮밥,유부팽이국,양상추샐러드(발사믹드레싱),empty,깍두기,S연근전,S망고주스,찹쌀밥,당근스프,바베큐폭찹,오이맛살무침,깍두기,5
흰콩밥,차돌박이된장국,취나물된장무침,냉이나물,오이소박이김치,S미니우동,S연두부샐러드(오리엔탈드레싱),새우간장덮밥,채소스프,닭감자고구마조림,감자어묵볶음,나박 김치,S오렌지주스(무가당),S수제블루베리우유,잡곡밥(30),늙은호박국,주꾸미볶음,다시마튀각,비트초절이,1
잡곡밥(30),늙은호박국,감자어묵볶음,취나물된장무침,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S수제블루베리우유,새우간장덮밥,채소스프,닭감자고구마조림,다시마튀각,나박 김치,S미니우동,S오렌지주스(무가당),흰콩밥,차돌박이된장국,주꾸미볶음,냉이나물,비트초절이,4
잡곡밥(30),늙은호박국,감자어묵볶음,취나물된장무침,오이소박이김치,S찐밤,S수제블루베리우유,새우간장덮밥,맑은장국,옥수수채소튀김,empty,나박 김치,S미니우동,S오렌지주스(무가당),흰콩밥,차돌박이된장국,주꾸미볶음,호박고지나물,비트초절이,5
잡곡밥(30),늙은호박국,감자어묵볶음,취나물된장무침,오이소박이김치,S수제블루베리우유,empty,새우간장덮밥,실파장국,닭고구마조림,empty,깍두기,S미니우동,S오렌지주스(무가당),흰콩밥,차돌박이된장국,주꾸미볶음,다시마채무침,비트초절이,5
밤찹쌀팥밥,감자탕,메추리알고구마조림,주꾸미야채볶음,총각 김치,S우유(200ml),S단호박식혜,가지채소볶음밥,감자국,열무볶음,해물김치전,열무 물김치,S사과(35g),S청경채죽,밤콩밥(30),콩가루열무된장국,닭살양배추볶음,미나리초무침,파 김치,1
밤콩밥(30),감자국,닭살양배추볶음,메추리알고구마조림,열무 물김치,S사과(35g),S우유(200ml),가지채소볶음밥,콩가루열무된장국,해물김치전,미나리초무침,총각 김치,S청경채죽,S단호박식혜,밤찹쌀팥밥,감자탕,주꾸미야채볶음,열무볶음,파 김치,3
밤콩밥(40),감자국,닭살양배추볶음,브로콜리두부무침,백김치,S사과(35g),S우유(200ml),가지채소볶음밥,콩가루열무된장국,해물김치전,empty,깍두기,S청경채죽,S단호박식혜,밤찹쌀팥밥,가자미미역국,주꾸미야채볶음,숙주나물무침,나박 김치,5
밤콩밥(30),감자국,메추리알고구마조림,열무나물,백김치,S사과(35g),empty,가지채소볶음밥,콩가루무채국,주꾸미야채볶음,empty,총각 김치,S채소찐빵,S단호박식혜,밤찹쌀팥밥,다시마양파국,닭살양배추볶음,씻은김치전,열무 김치,5
팥밥(30),느타리버섯맑은국,가지양념찜,매콤콩나물무침,깍두기,S연두부샐러드(오리엔탈드레싱),S쌀음료,돈육양배추덮밥,만두순두부찌개,건새우애호박볶음,가지구이,열무 김치,S단호박크림리조또,S고구마쉐이크,율무밥,두부전골,고구마순된장무침,양념가지찜,나박 김치,1
팥밥(30),만두순두부찌개,건새우애호박볶음,가지양념찜,깍두기,S연두부샐러드(오리엔탈드레싱),S고구마쉐이크,돈육양배추덮밥,느타리버섯맑은국,가지구이,매콤콩나물무침,열무 김치,S단호박크림리조또,S쌀음료,율무밥,두부전골,고구마순된장무침,양념가지찜,나박 김치,2
팥밥(30),무채양팟국,감자채볶음,숙주김가루무침,깍두기,S찐고구마,S우유(100ml),안매운마파두부덮밥,달걀국,매생이육전,empty,열무 김치,S단호박크림리조또,S쌀음료,율무밥,버섯샤브샤브,삼치구이,치커리사과무침,나박 김치,5
팥밥(30),쑥갓어묵국,건새우볶음,가지양념찜,깍두기,S우유(100ml),empty,돈육양배추덮밥,두부전골,연근흑임자소스무침,empty,열무 김치,S인절미,S쌀음료,율무밥,안매운부대찌개,짜장떡볶이,고구마순된장무침,나박 김치,5
수수밥(30),만두국,브로콜리조갯살전,도라지무침,오이 피클,S수제바나나우유,S소고기우엉죽,찹쌀밥(추가),모듬버섯찌개,애호박생선살찜,느타리버섯나물,열무 물김치,S건포도감자볼,S미숫가루,쇠고기김주먹밥,느타리버섯국,새우살케첩볶음,애호박건새우볶음,오이소박이김치,1
수수밥(30),느타리버섯국,브로콜리조갯살전,도라지무침,열무 물김치,S소고기우엉죽,S미숫가루,쇠고기김주먹밥,느타리버섯국,새우살케첩볶음,느타리버섯나물,오이 피클,S건포도감자볼,S수제바나나우유,찹쌀밥(추가),모듬버섯찌개,애호박생선살찜,애호박건새우볶음,오이소박이김치,2
수수밥(30),유부실파국,새우살케첩볶음,미역초무침,열무 물김치,S송편,S오렌지주스,쇠고기김주먹밥,두부곤약탕국,사과샐러드(발사믹드레싱),empty,비트초절이,S바나나,S우유(200ml),찹쌀밥(추가),모듬버섯찌개,애호박생선살찜,숙주초무침,오이소박이김치,5
수수밥(30),느타리버섯국,브로콜리조갯살전,청포묵김가루무침,열무 물김치,S사과,empty,쇠고기김주먹밥,꼬치어묵국,새우살케첩볶음,empty,비트초절이,S건포도감자볼,S미숫가루,찹쌀밥(추가),모듬버섯찌개,애호박생선살찜,파래무채무침,오이소박이김치,5
밤밥(40),버섯찌개,모듬버섯전,순살간장닭갈비,깍두기,S바나나쉐이크,S크림리조또,완두콩밥,무채양팟국,크래미채소볶음,애호박볶음,총각 김치,S토마토주스,S오이당근스틱,새우크림스파게티,empty,무말랭이,감자어묵볶음,비트초절이,1
밤밥(40),무채양팟국,감자어묵볶음,무말랭이,깍두기,S오이당근스틱,S바나나쉐이크,새우크림스파게티,empty,크래미채소볶음,모듬버섯전,비트초절이,S크림리조또,S토마토주스,완두콩밥,버섯찌개,순살간장닭갈비,애호박볶음,총각 김치,4
밤밥(40),무채양팟국,감자어묵볶음,일미무침,나박 김치,S오이당근스틱,S바나나쉐이크,새우크림스파게티,맑은장국,닭다리살튀김,오이토마토샐러드(발사믹드레싱),비트초절이,S찹쌀도너츠,S포도주스,완두콩밥,버섯찌개,삼치살데리야끼조림,애호박볶음,총각 김치,5
밤밥(40),무채양팟국,감자어묵볶음,파래무침,깍두기,S오이당근스틱,empty,새우크림스파게티,유부장국,순살후라이드치킨,empty,비트초절이,S딸기쨈식빵,S포도주스,완두콩밥,버섯찌개,삼치유자청구이,애호박볶음,총각 김치,5
찹쌀밥,느타리버섯국,주꾸미채소간장볶음,배무생채,열무 물김치,S수제바나나우유,S쌀음료,돈육양배추덮밥,느타리버섯맑은국,우엉채곤약조림,해산물부추전,나박 김치,S참깨우유스프,S건포도감자볼,옥수수밥(30),만두닭개장,콩자반,empty,열무 김치,1
옥수수밥(30),느타리버섯맑은국,콩자반,우엉채곤약조림,열무 물김치,S건포도감자볼,S수제바나나우유,돈육양배추덮밥,느타리버섯국,해산물부추전,배무생채,나박 김치,S참깨우유스프,S쌀음료,찹쌀밥,만두닭개장,주꾸미채소간장볶음,empty,열무 김치,3
옥수수밥(30),만두국,콩자반,우엉채곤약조림,열무 물김치,S감말랭이,S수제바나나우유,돈육양배추덮밥,유부실파국,해산물부추전,empty,나박 김치,S보리떡(40g),S쌀음료,찹쌀밥,닭고기무국,동태살전,청포묵무침,열무 김치,5
옥수수밥(30),가자미미역국,콩자반,우엉채곤약조림,열무 물김치,S수제바나나우유,empty,돈육양배추덮밥,느타리버섯국,해산물부추전,배무생채,나박 김치,S쑥설기,S쌀음료,찹쌀밥,닭개장,주꾸미채소간장볶음,봄동나물,열무 김치,5
팥밥(30),낙지연포탕,(고춧가루제외)부추사과무침,가지양념찜,비트초절이,S쇠고기양파죽,S식혜,백김치볶음밥,두부전골,고구마순된장무침,건새우애호박볶음,깍두기,S고구마샐러드(마요네즈),S고구마쉐이크,율무밥,소갈비탕,깻잎감자전,양념가지찜,단무지무침,1
팥밥(30),두부전골,고구마순된장무침,가지양념찜,깍두기,S쇠고기양파죽,S식혜,백김치볶음밥,낙지연포탕,깻잎감자전,(고춧가루제외)부추사과무침,비트초절이,S고구마샐러드(마요네즈),S고구마쉐이크,율무밥,소갈비탕,건새우애호박볶음,양념가지찜,단무지무침,3
팥밥(40),매생이떡국,고구마순된장무침,숙주나물,나박 김치,S단호박샐러드,S수제블루베리우유,백김치볶음밥,우동국물,깻잎감자전,사과샐러드(발사믹드레싱),비트초절이,S복숭아(60g),S우유(150ml),율무밥,소갈비탕,두부땅콩조림,오이부추생채,깍두기,5
팥밥(30),두부애호박국,멸치피망볶음,고구마순된장무침,나박 김치,S수제블루베리우유,empty,백김치볶음밥,들깨버섯국,오징어채소완자전,empty,비트초절이,S궁중떡볶이,S우유(150ml),율무밥,소갈비탕,명태조림,오이부추생채,깍두기,5
수수밥(30),모듬버섯찌개,아욱건새우전,우엉채곤약조림,석박지,S토마토주스,S소고기우엉죽,찹쌀밥(추가),멸치장국,채소크로켓,가지무침,총각 김치,S수제바나나우유,S연두부샐러드(오리엔탈드레싱),쇠고기가지덮밥,새알미역국,도라지무침,empty,열무 물김치,1
수수밥(30),모듬버섯찌개,아욱건새우전,우엉채곤약조림,석박지,S소고기우엉죽,S토마토주스,쇠고기가지덮밥,멸치장국,가지무침,채소크로켓,총각 김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,찹쌀밥(추가),새알미역국,empty,도라지무침,열무 물김치,2
수수밥(40),대구살맑은국,아욱건새우전,우엉채곤약조림,석박지,S삶은달걀,S오렌지주스,파인애플새우볶음밥,유부실파국,군만두,사과샐러드(발사믹드레싱),총각 김치,S백설기,S우유(150ml),찹쌀밥(추가),미역국,오징어숙회+유자소스,숙주당근나물,열무 물김치,5
수수밥(30),모듬버섯찌개,아욱건새우전,우엉채곤약조림,석박지,S바나나,empty,쇠고기가지덮밥,맑은양배춧국,군만두,empty,총각 김치,S달걀토스트,S우유(150ml),찹쌀밥(추가),새알미역국,삼치단호박조림,배추나물,열무 물김치,5
옥수수밥(30),두부전골,매콤콩나물무침,고구마순된장무침,깻잎김치,S고구마쉐이크,S쌀음료,율무밥,만두닭개장,고구마순된장무침,해산물부추전,깍두기,S감자채요거트샐러드,empty,일본식쇠고기덮밥(규동),미역만두국,느타리버섯나물,양상추샐러드(키위드레싱),열무 김치,1
옥수수밥(30),미역만두국,고구마순된장무침,느타리버섯나물,깻잎김치,S감자채요거트샐러드,S쌀음료,일본식쇠고기덮밥(규동),두부전골,해산물부추전,양상추샐러드(키위드레싱),깍두기,empty,S고구마쉐이크,율무밥,만두닭개장,매콤콩나물무침,고구마순된장무침,열무 김치,4
옥수수밥(40),어묵맑은국,시금치두부전,느타리버섯나물,깻잎김치,S감자채요거트샐러드,S우유(150ml),닭살채소볶음밥,팽이버섯맑은국,양상추샐러드(키위드레싱),empty,깍두기,S방울토마토,S고구마쉐이크,율무밥,연두부청경채새우탕,삼치카레구이,고구마순된장무침,열무 김치,5
옥수수밥(30),닭곰탕,무조림,고구마순된장무침,깻잎김치,S방울토마토,empty,일본식쇠고기덮밥(규동),두부전골,부추전,양상추샐러드(키위드레싱),깍두기,S감자채요거트샐러드,S우유(150ml),율무밥,만두국,오징어볶음,콩나물무침,열무 김치,5
밤콩밥(30),만두국,건새우애호박볶음,배무생채,총각 김치,S연두부샐러드(오리엔탈드레싱),S단호박식혜,돈육양배추덮밥,돼지고기된장찌개,양념가지찜,두부채소굴소스볶음,나박 김치,S수제바나나우유,S크림리조또,찹쌀밥,느타리버섯맑은국,가지양념무침,empty,비트초절이,1
밤콩밥(30),만두국,건새우애호박볶음,가지양념무침,총각 김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,돈육양배추덮밥,팽이버섯맑은국,empty,배무생채,나박 김치,S크림리조또,S단호박식혜,찹쌀밥,돼지고기된장찌개,두부채소굴소스볶음,양념가지찜,비트초절이,3
밤콩밥(30),김치유부맑은국,너비아니구이,미역초무침,총각 김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,돈육양배추덮밥,감잣국,팽이버섯달걀전,empty,나박 김치,S쑥설기,S식혜,찹쌀밥,돼지고기된장찌개,두부채소굴소스볶음,콩나물냉채,비트초절이,5
밤콩밥(30),만두국,잔멸치아몬드볶음,가지양념무침,총각 김치,S수제바나나우유,empty,돈육양배추덮밥,팽이버섯맑은국,궁중떡볶이,배무생채,비트초절이,S쑥설기,S식혜,찹쌀밥,꼬막된장찌개,두부채소굴소스볶음,다시마채무침,백김치,5
고구마밥(40),소갈비탕,애호박양파볶음,두부케찹조림,단배추물김치,S우유미숫가루,S우엉채소볶음밥,밤찹쌀팥밥,새우살시금치국,우엉불고기,돈육찹쌀구이,단무지,S쌀음료,S감자샐러드,닭갈비덮밥,호박맑은국,단호박해물찜,양배추샐러드(레몬드레싱),깍두기,1
고구마밥(40),새우살시금치국,우엉불고기,애호박양파볶음,단배추물김치,S감자샐러드,S우유미숫가루,닭갈비덮밥,호박맑은국,단호박해물찜,양배추샐러드(레몬드레싱),단무지,S우엉채소볶음밥,S쌀음료,밤찹쌀팥밥,소갈비탕,두부케찹조림,돈육찹쌀구이,깍두기,3
고구마밥,새우살무국,두부케찹조림,숙주나물,단배추물김치,S바나나,S우유(200ml),닭갈비덮밥,호박맑은국,오징어링튀김,양배추샐러드(레몬드레싱),단무지,S감말랭이,S유자차,밤찹쌀팥밥,소갈비탕,콩나물냉채,오이무침,깍두기,5
고구마밥(40),새우살시금치국,쇠고기우엉조림,애호박양파볶음,단배추물김치,S사과,empty,닭갈비덮밥,미역냉국,만두탕수,양배추샐러드(레몬드레싱),단무지,S바나나핫케이크,S우유(150ml),밤찹쌀팥밥,소갈비탕,두부케찹조림,오이무침,깍두기,5
